"sim_id","lon","lat"
"173711_10",-63.6016501597947,-53.83205382365
"173711_10",-63.6554975975085,-53.9458828146761
"173711_10",-63.9091610092395,-54.2697407122619
"173711_10",-64.0953347371704,-54.2938592388281
"173711_10",-63.9817733650298,-54.1769013526255
"173711_10",-64.1042201719193,-54.3422427457052
"173711_10",-64.2771350249753,-54.4481012106029
"173711_10",-64.1132682356839,-54.0222662264457
"173711_10",-64.2664357037292,-53.8397459979477
"173711_10",-64.3944160193711,-54.1274257567319
"173711_10",-64.5463085222927,-54.1551678129061
"173711_10",-64.4349431253711,-53.9633868531485
"173711_10",-64.4687541913078,-54.1427387624124
"173711_10",-64.3633534967322,-54.3489861033594
"173711_10",-64.6388343109835,-54.4187621054983
"173711_10",-64.743564759616,-54.2223398886453
"173711_10",-64.6766656128133,-53.890102466408
"173711_10",-64.9033838249568,-54.03405745204
"173711_10",-64.9826476737938,-54.2848041264994
"173711_10",-64.8335410763319,-54.1445575316895
"173711_10",-64.8198875076137,-54.0767988403774
"173711_10",-64.8254463753533,-54.0489388606768
"173711_10",-64.7915868365487,-54.1222045575033
"173711_10",-65.0049523727103,-54.5251724775375
"173711_10",-65.1629039618637,-54.7229891473831
"173711_10",-65.3118062496253,-54.9481817481467
"173711_10",-65.1927270978991,-55.0210744803941
"173711_10",-65.2035269939647,-54.9450415301528
"173711_10",-65.2108595143973,-54.3775509059524
"173711_10",-65.3204498255831,-54.3318404856617
"173711_10",-65.4373043985288,-54.1210547809265
"173711_10",-65.3512485456991,-54.0583808682592
"173711_10",-65.4704740862389,-54.288030564396
"173711_10",-65.4849660761856,-54.3639438700041
"173711_10",-65.5252929654918,-53.9919041915179
"173711_10",-65.5729878342498,-53.8125600898124
"173711_10",-65.6098192880484,-54.082301468376
"173711_10",-65.5174718288083,-54.0904258379424
"173711_10",-65.5504618829115,-54.1370407267116
"173711_10",-65.6264047718567,-54.5484618401303
"173711_10",-65.6973694254626,-54.5131699845875
"173711_10",-65.3831546183979,-54.2178840530446
"173711_10",-65.3518110017109,-53.9864103332488
"173711_10",-65.0302518067936,-53.429450417099
"173711_10",-64.9870481528656,-53.4094850216249
"173711_10",-65.0445811046662,-53.7353842331164
"173711_10",-64.9230946428897,-53.6474437162581
"173711_10",-64.8171440506687,-53.1909525569125
"173711_10",-64.8879847284829,-52.9398557965542
"173711_10",-64.8931397576029,-52.9437780909178
"173711_10",-64.9805841543906,-52.945471060768
"173711_10",-65.0019808576875,-52.8422298540178
"173711_10",-64.9612174435956,-52.7340509745803
"173711_10",-64.8530542421061,-52.5074452099821
"173711_10",-64.864188567046,-52.5307693987711
"173711_10",-64.9306762869253,-52.6044098684271
"173711_10",-64.8989767832651,-52.5724252988857
"173711_10",-64.7653596410555,-52.2367433770344
"173711_10",-64.3970330507447,-51.8883115821723
"173711_10",-64.3057896750254,-51.660495478861
"173711_10",-64.3331316039813,-51.7430550883349
"173711_10",-64.6392588833331,-52.1692558728045
"173711_10",-64.7599231056347,-52.4848419301483
"173711_10",-64.9749185049357,-53.1697926840587
"173711_10",-64.9432908896773,-53.0564676676679
"173711_10",-64.7181196976592,-53.1251893406948
